id;premises;target_sentence;conclusion;gold_label;item_id;context_condition;target_variant;response_option
exp1_11_pa_n_d_once;Vor zwei Monaten hat Thorsten Linda ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Thorsten wieder ein interessantes Jobangebot bekommen, als er auf einer Jobborse zugegen war.;Thorsten hat einmal ein interessantes Jobangebot bekommen.;entailment;11;neutral;a;once
exp1_11_pa_n_d_twice;Vor zwei Monaten hat Thorsten Linda ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Thorsten wieder ein interessantes Jobangebot bekommen, als er auf einer Jobborse zugegen war.;Thorsten hat mindestens zweimal ein interessantes Jobangebot bekommen.;neutral;11;neutral;a;twice
exp1_11_pa_n_d_cannot_say;Vor zwei Monaten hat Thorsten Linda ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Thorsten wieder ein interessantes Jobangebot bekommen, als er auf einer Jobborse zugegen war.;Es lässt sich nicht sagen, wie oft Thorsten ein interessantes Jobangebot bekommen hat.;neutral;11;neutral;a;cannot say
exp1_11_pb_p_f_once;Vor zwei Monaten hat Thorsten Linda ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Linda wieder ein interessantes Jobangebot gemacht, als sie auf einer Jobborse zugegen war.;Linda hat einmal ein interessantes Jobangebot gemacht.;neutral;11;positive;b;once
exp1_11_pb_p_f_twice;Vor zwei Monaten hat Thorsten Linda ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Linda wieder ein interessantes Jobangebot gemacht, als sie auf einer Jobborse zugegen war.;Linda hat mindestens zweimal ein interessantes Jobangebot gemacht.;entailment;11;positive;b;twice
exp1_11_pb_p_f_cannot_say;Vor zwei Monaten hat Thorsten Linda ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Linda wieder ein interessantes Jobangebot gemacht, als sie auf einer Jobborse zugegen war.;Es lässt sich nicht sagen, wie oft Linda ein interessantes Jobangebot gemacht hat.;neutral;11;positive;b;cannot say
exp1_11_pb_n_d_once;Vor zwei Monaten hat Thorsten Linda ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Thorsten wieder ein interessantes Jobangebot gemacht, als er auf einer Jobborse zugegen war.;Thorsten hat einmal ein interessantes Jobangebot gemacht.;entailment;11;neutral;b;once
exp1_11_pb_n_d_twice;Vor zwei Monaten hat Thorsten Linda ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Thorsten wieder ein interessantes Jobangebot gemacht, als er auf einer Jobborse zugegen war.;Thorsten hat mindestens zweimal ein interessantes Jobangebot gemacht.;neutral;11;neutral;b;twice
exp1_11_pb_n_d_cannot_say;Vor zwei Monaten hat Thorsten Linda ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Thorsten wieder ein interessantes Jobangebot gemacht, als er auf einer Jobborse zugegen war.;Es lässt sich nicht sagen, wie oft Thorsten ein interessantes Jobangebot gemacht hat.;neutral;11;neutral;b;cannot say
exp1_11_na_p_f_once;Vor zwei Monaten hat Linda Thorsten ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Thorsten wieder ein interessantes Jobangebot bekommen, als er auf einer Jobborse zugegen war.;Thorsten hat einmal ein interessantes Jobangebot bekommen.;entailment;11;positive;a;once
exp1_11_na_p_f_twice;Vor zwei Monaten hat Linda Thorsten ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Thorsten wieder ein interessantes Jobangebot bekommen, als er auf einer Jobborse zugegen war.;Thorsten hat mindestens zweimal ein interessantes Jobangebot bekommen.;neutral;11;positive;a;twice
exp1_11_na_p_f_cannot_say;Vor zwei Monaten hat Linda Thorsten ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Thorsten wieder ein interessantes Jobangebot bekommen, als er auf einer Jobborse zugegen war.;Es lässt sich nicht sagen, wie oft Thorsten ein interessantes Jobangebot bekommen hat.;neutral;11;positive;a;cannot say
exp1_11_na_n_d_once;Vor zwei Monaten hat Linda Thorsten ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Linda wieder ein interessantes Jobangebot bekommen, als sie auf einer Jobborse zugegen war.;Linda hat einmal ein interessantes Jobangebot bekommen.;neutral;11;neutral;a;once
exp1_11_na_n_d_twice;Vor zwei Monaten hat Linda Thorsten ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Linda wieder ein interessantes Jobangebot bekommen, als sie auf einer Jobborse zugegen war.;Linda hat mindestens zweimal ein interessantes Jobangebot bekommen.;entailment;11;neutral;a;twice
exp1_11_na_n_d_cannot_say;Vor zwei Monaten hat Linda Thorsten ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Linda wieder ein interessantes Jobangebot bekommen, als sie auf einer Jobborse zugegen war.;Es lässt sich nicht sagen, wie oft Linda ein interessantes Jobangebot bekommen hat.;neutral;11;neutral;a;cannot say
exp1_11_nb_p_f_once;Vor zwei Monaten hat Linda Thorsten ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Thorsten wieder ein interessantes Jobangebot gemacht, als er auf einer Jobborse zugegen war.;Thorsten hat einmal ein interessantes Jobangebot gemacht.;entailment;11;positive;b;once
exp1_11_nb_p_f_twice;Vor zwei Monaten hat Linda Thorsten ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Thorsten wieder ein interessantes Jobangebot gemacht, als er auf einer Jobborse zugegen war.;Thorsten hat mindestens zweimal ein interessantes Jobangebot gemacht.;neutral;11;positive;b;twice
exp1_11_nb_p_f_cannot_say;Vor zwei Monaten hat Linda Thorsten ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Thorsten wieder ein interessantes Jobangebot gemacht, als er auf einer Jobborse zugegen war.;Es lässt sich nicht sagen, wie oft Thorsten ein interessantes Jobangebot gemacht hat.;neutral;11;positive;b;cannot say
exp1_11_nb_n_d_once;Vor zwei Monaten hat Linda Thorsten ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Linda wieder ein interessantes Jobangebot gemacht, als sie auf einer Jobborse zugegen war.;Linda hat einmal ein interessantes Jobangebot gemacht.;neutral;11;neutral;b;once
exp1_11_nb_n_d_twice;Vor zwei Monaten hat Linda Thorsten ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Linda wieder ein interessantes Jobangebot gemacht, als sie auf einer Jobborse zugegen war.;Linda hat mindestens zweimal ein interessantes Jobangebot gemacht.;entailment;11;neutral;b;twice
exp1_11_nb_n_d_cannot_say;Vor zwei Monaten hat Linda Thorsten ein interessantes Jobangebot offeriert.;Vor zwei Tagen hat Linda wieder ein interessantes Jobangebot gemacht, als sie auf einer Jobborse zugegen war.;Es lässt sich nicht sagen, wie oft Linda ein interessantes Jobangebot gemacht hat.;neutral;11;neutral;b;cannot say
exp1_12_pa_p_f_once;Vor drei Jahren hat Thorsten fur Timo einen großen Kleiderschrank gekauft.;Vor einer Woche hat Timo wieder einen großen Kleiderschrank bekommen, weil er mit einem Freund ausgemistet hat.;Timo hat einmal einen großen Kleiderschrank bekommen.;neutral;12;positive;a;once
exp1_12_pa_p_f_twice;Vor drei Jahren hat Thorsten fur Timo einen großen Kleiderschrank gekauft.;Vor einer Woche hat Timo wieder einen großen Kleiderschrank bekommen, weil er mit einem Freund ausgemistet hat.;Timo hat mindestens zweimal einen großen Kleiderschrank bekommen.;entailment;12;positive;a;twice
exp1_12_pa_p_f_cannot_say;Vor drei Jahren hat Thorsten fur Timo einen großen Kleiderschrank gekauft.;Vor einer Woche hat Timo wieder einen großen Kleiderschrank bekommen, weil er mit einem Freund ausgemistet hat.;Es lässt sich nicht sagen, wie oft Timo einen großen Kleiderschrank bekommen hat.;neutral;12;positive;a;cannot say
exp1_12_pa_n_d_once;Vor drei Jahren hat Thorsten fur Timo einen großen Kleiderschrank gekauft.;Vor einer Woche hat Thorsten wieder einen großen Kleiderschrank bekommen, weil er mit einem Freund ausgemistet hat.;Thorsten hat einmal einen großen Kleiderschrank bekommen.;entailment;12;neutral;a;once
exp1_12_pa_n_d_twice;Vor drei Jahren hat Thorsten fur Timo einen großen Kleiderschrank gekauft.;Vor einer Woche hat Thorsten wieder einen großen Kleiderschrank bekommen, weil er mit einem Freund ausgemistet hat.;Thorsten hat mindestens zweimal einen großen Kleiderschrank bekommen.;neutral;12;neutral;a;twice
exp1_12_pa_n_d_cannot_say;Vor drei Jahren hat Thorsten fur Timo einen großen Kleiderschrank gekauft.;Vor einer Woche hat Thorsten wieder einen großen Kleiderschrank bekommen, weil er mit einem Freund ausgemistet hat.;Es lässt sich nicht sagen, wie oft Thorsten einen großen Kleiderschrank bekommen hat.;neutral;12;neutral;a;cannot say
exp1_12_pb_p_f_once;Vor drei Jahren hat Thorsten fur Timo einen großen Kleiderschrank gekauft.;Vor einer Woche hat Timo wieder einen großen Kleiderschrank weggegeben, weil er mit einem Freund ausgemistet hat.;Timo hat einmal einen großen Kleiderschrank weggegeben.;neutral;12;positive;b;once
exp1_12_pb_p_f_twice;Vor drei Jahren hat Thorsten fur Timo einen großen Kleiderschrank gekauft.;Vor einer Woche hat Timo wieder einen großen Kleiderschrank weggegeben, weil er mit einem Freund ausgemistet hat.;Timo hat mindestens zweimal einen großen Kleiderschrank weggegeben.;entailment;12;positive;b;twice
exp1_12_pb_p_f_cannot_say;Vor drei Jahren hat Thorsten fur Timo einen großen Kleiderschrank gekauft.;Vor einer Woche hat Timo wieder einen großen Kleiderschrank weggegeben, weil er mit einem Freund ausgemistet hat.;Es lässt sich nicht sagen, wie oft Timo einen großen Kleiderschrank weggegeben hat.;neutral;12;positive;b;cannot say
exp1_12_pb_n_d_once;Vor drei Jahren hat Thorsten fur Timo einen großen Kleiderschrank gekauft.;Vor einer Woche hat Thorsten wieder einen großen Kleiderschrank weggegeben, weil er mit einem Freund ausgemistet hat.;Thorsten hat einmal einen großen Kleiderschrank weggegeben.;entailment;12;neutral;b;once
exp1_12_pb_n_d_twice;Vor drei Jahren hat Thorsten fur Timo einen großen Kleiderschrank gekauft.;Vor einer Woche hat Thorsten wieder einen großen Kleiderschrank weggegeben, weil er mit einem Freund ausgemistet hat.;Thorsten hat mindestens zweimal einen großen Kleiderschrank weggegeben.;neutral;12;neutral;b;twice
exp1_12_pb_n_d_cannot_say;Vor drei Jahren hat Thorsten fur Timo einen großen Kleiderschrank gekauft.;Vor einer Woche hat Thorsten wieder einen großen Kleiderschrank weggegeben, weil er mit einem Freund ausgemistet hat.;Es lässt sich nicht sagen, wie oft Thorsten einen großen Kleiderschrank weggegeben hat.;neutral;12;neutral;b;cannot say
exp1_12_na_p_f_once;Vor drei Jahren hat Timo fur Thorsten einen großen Kleiderschrank gekauft.;Vor einer Woche hat Thorsten wieder einen großen Kleiderschrank bekommen, weil er mit einem Freund ausgemistet hat.;Thorsten hat einmal einen großen Kleiderschrank bekommen.;entailment;12;positive;a;once
exp1_12_na_p_f_twice;Vor drei Jahren hat Timo fur Thorsten einen großen Kleiderschrank gekauft.;Vor einer Woche hat Thorsten wieder einen großen Kleiderschrank bekommen, weil er mit einem Freund ausgemistet hat.;Thorsten hat mindestens zweimal einen großen Kleiderschrank bekommen.;neutral;12;positive;a;twice
exp1_12_na_p_f_cannot_say;Vor drei Jahren hat Timo fur Thorsten einen großen Kleiderschrank gekauft.;Vor einer Woche hat Thorsten wieder einen großen Kleiderschrank bekommen, weil er mit einem Freund ausgemistet hat.;Es lässt sich nicht sagen, wie oft Thorsten einen großen Kleiderschrank bekommen hat.;neutral;12;positive;a;cannot say
exp1_12_na_n_d_once;Vor drei Jahren hat Timo fur Thorsten einen großen Kleiderschrank gekauft.;Vor einer Woche hat Timo wieder einen großen Kleiderschrank bekommen, weil er mit einem Freund ausgemistet hat.;Timo hat einmal einen großen Kleiderschrank bekommen.;neutral;12;neutral;a;once
exp1_12_na_n_d_twice;Vor drei Jahren hat Timo fur Thorsten einen großen Kleiderschrank gekauft.;Vor einer Woche hat Timo wieder einen großen Kleiderschrank bekommen, weil er mit einem Freund ausgemistet hat.;Timo hat mindestens zweimal einen großen Kleiderschrank bekommen.;entailment;12;neutral;a;twice
exp1_12_na_n_d_cannot_say;Vor drei Jahren hat Timo fur Thorsten einen großen Kleiderschrank gekauft.;Vor einer Woche hat Timo wieder einen großen Kleiderschrank bekommen, weil er mit einem Freund ausgemistet hat.;Es lässt sich nicht sagen, wie oft Timo einen großen Kleiderschrank bekommen hat.;neutral;12;neutral;a;cannot say
exp1_12_nb_p_f_once;Vor drei Jahren hat Timo fur Thorsten einen großen Kleiderschrank gekauft.;Vor einer Woche hat Thorsten wieder einen großen Kleiderschrank weggegeben, weil er mit einem Freund ausgemistet hat.;Thorsten hat einmal einen großen Kleiderschrank weggegeben.;entailment;12;positive;b;once
exp1_12_nb_p_f_twice;Vor drei Jahren hat Timo fur Thorsten einen großen Kleiderschrank gekauft.;Vor einer Woche hat Thorsten wieder einen großen Kleiderschrank weggegeben, weil er mit einem Freund ausgemistet hat.;Thorsten hat mindestens zweimal einen großen Kleiderschrank weggegeben.;neutral;12;positive;b;twice
exp1_12_nb_p_f_cannot_say;Vor drei Jahren hat Timo fur Thorsten einen großen Kleiderschrank gekauft.;Vor einer Woche hat Thorsten wieder einen großen Kleiderschrank weggegeben, weil er mit einem Freund ausgemistet hat.;Es lässt sich nicht sagen, wie oft Thorsten einen großen Kleiderschrank weggegeben hat.;neutral;12;positive;b;cannot say
exp1_12_nb_n_d_once;Vor drei Jahren hat Timo fur Thorsten einen großen Kleiderschrank gekauft.;Vor einer Woche hat Timo wieder einen großen Kleiderschrank weggegeben, weil er mit einem Freund ausgemistet hat.;Timo hat einmal einen großen Kleiderschrank weggegeben.;neutral;12;neutral;b;once
exp1_12_nb_n_d_twice;Vor drei Jahren hat Timo fur Thorsten einen großen Kleiderschrank gekauft.;Vor einer Woche hat Timo wieder einen großen Kleiderschrank weggegeben, weil er mit einem Freund ausgemistet hat.;Timo hat mindestens zweimal einen großen Kleiderschrank weggegeben.;entailment;12;neutral;b;twice
exp1_12_nb_n_d_cannot_say;Vor drei Jahren hat Timo fur Thorsten einen großen Kleiderschrank gekauft.;Vor einer Woche hat Timo wieder einen großen Kleiderschrank weggegeben, weil er mit einem Freund ausgemistet hat.;Es lässt sich nicht sagen, wie oft Timo einen großen Kleiderschrank weggegeben hat.;neutral;12;neutral;b;cannot say
exp1_13_pa_p_f_once;Letzte Woche hat Thorsten Greta mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Greta wieder einen spannenden Auftrag ausgefuhrt, als sie an einer Konferenz teilgenommen hat.;Greta hat einmal einen spannenden Auftrag ausgefuhrt.;neutral;13;positive;a;once
exp1_13_pa_p_f_twice;Letzte Woche hat Thorsten Greta mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Greta wieder einen spannenden Auftrag ausgefuhrt, als sie an einer Konferenz teilgenommen hat.;Greta hat mindestens zweimal einen spannenden Auftrag ausgefuhrt.;entailment;13;positive;a;twice
exp1_13_pa_p_f_cannot_say;Letzte Woche hat Thorsten Greta mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Greta wieder einen spannenden Auftrag ausgefuhrt, als sie an einer Konferenz teilgenommen hat.;Es lässt sich nicht sagen, wie oft Greta einen spannenden Auftrag ausgefuhrt hat.;neutral;13;positive;a;cannot say
exp1_13_pa_n_d_once;Letzte Woche hat Thorsten Greta mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Thorsten wieder einen spannenden Auftrag ausgefuhrt, als er an einer Konferenz teilgenommen hat.;Thorsten hat einmal einen spannenden Auftrag ausgefuhrt.;entailment;13;neutral;a;once
exp1_13_pa_n_d_twice;Letzte Woche hat Thorsten Greta mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Thorsten wieder einen spannenden Auftrag ausgefuhrt, als er an einer Konferenz teilgenommen hat.;Thorsten hat mindestens zweimal einen spannenden Auftrag ausgefuhrt.;neutral;13;neutral;a;twice
exp1_13_pa_n_d_cannot_say;Letzte Woche hat Thorsten Greta mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Thorsten wieder einen spannenden Auftrag ausgefuhrt, als er an einer Konferenz teilgenommen hat.;Es lässt sich nicht sagen, wie oft Thorsten einen spannenden Auftrag ausgefuhrt hat.;neutral;13;neutral;a;cannot say
exp1_13_pb_p_f_once;Letzte Woche hat Thorsten Greta mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Greta wieder einen spannenden Auftrag vergeben, als sie an einer Konferenz teilgenommen hat.;Greta hat einmal einen spannenden Auftrag vergeben.;neutral;13;positive;b;once
exp1_13_pb_p_f_twice;Letzte Woche hat Thorsten Greta mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Greta wieder einen spannenden Auftrag vergeben, als sie an einer Konferenz teilgenommen hat.;Greta hat mindestens zweimal einen spannenden Auftrag vergeben.;entailment;13;positive;b;twice
exp1_13_pb_p_f_cannot_say;Letzte Woche hat Thorsten Greta mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Greta wieder einen spannenden Auftrag vergeben, als sie an einer Konferenz teilgenommen hat.;Es lässt sich nicht sagen, wie oft Greta einen spannenden Auftrag vergeben hat.;neutral;13;positive;b;cannot say
exp1_13_pb_n_d_once;Letzte Woche hat Thorsten Greta mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Thorsten wieder einen spannenden Auftrag vergeben, als er an einer Konferenz teilgenommen hat.;Thorsten hat einmal einen spannenden Auftrag vergeben.;entailment;13;neutral;b;once
exp1_13_pb_n_d_twice;Letzte Woche hat Thorsten Greta mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Thorsten wieder einen spannenden Auftrag vergeben, als er an einer Konferenz teilgenommen hat.;Thorsten hat mindestens zweimal einen spannenden Auftrag vergeben.;neutral;13;neutral;b;twice
exp1_13_pb_n_d_cannot_say;Letzte Woche hat Thorsten Greta mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Thorsten wieder einen spannenden Auftrag vergeben, als er an einer Konferenz teilgenommen hat.;Es lässt sich nicht sagen, wie oft Thorsten einen spannenden Auftrag vergeben hat.;neutral;13;neutral;b;cannot say
exp1_13_na_p_f_once;Letzte Woche hat Greta Thorsten mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Thorsten wieder einen spannenden Auftrag ausgefuhrt, als er an einer Konferenz teilgenommen hat.;Thorsten hat einmal einen spannenden Auftrag ausgefuhrt.;entailment;13;positive;a;once
exp1_13_na_p_f_twice;Letzte Woche hat Greta Thorsten mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Thorsten wieder einen spannenden Auftrag ausgefuhrt, als er an einer Konferenz teilgenommen hat.;Thorsten hat mindestens zweimal einen spannenden Auftrag ausgefuhrt.;neutral;13;positive;a;twice
exp1_13_na_p_f_cannot_say;Letzte Woche hat Greta Thorsten mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Thorsten wieder einen spannenden Auftrag ausgefuhrt, als er an einer Konferenz teilgenommen hat.;Es lässt sich nicht sagen, wie oft Thorsten einen spannenden Auftrag ausgefuhrt hat.;neutral;13;positive;a;cannot say
exp1_13_na_n_d_once;Letzte Woche hat Greta Thorsten mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Greta wieder einen spannenden Auftrag ausgefuhrt, als sie an einer Konferenz teilgenommen hat.;Greta hat einmal einen spannenden Auftrag ausgefuhrt.;neutral;13;neutral;a;once
exp1_13_na_n_d_twice;Letzte Woche hat Greta Thorsten mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Greta wieder einen spannenden Auftrag ausgefuhrt, als sie an einer Konferenz teilgenommen hat.;Greta hat mindestens zweimal einen spannenden Auftrag ausgefuhrt.;entailment;13;neutral;a;twice
exp1_13_na_n_d_cannot_say;Letzte Woche hat Greta Thorsten mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Greta wieder einen spannenden Auftrag ausgefuhrt, als sie an einer Konferenz teilgenommen hat.;Es lässt sich nicht sagen, wie oft Greta einen spannenden Auftrag ausgefuhrt hat.;neutral;13;neutral;a;cannot say
exp1_13_nb_p_f_once;Letzte Woche hat Greta Thorsten mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Thorsten wieder einen spannenden Auftrag vergeben, als er an einer Konferenz teilgenommen hat.;Thorsten hat einmal einen spannenden Auftrag vergeben.;entailment;13;positive;b;once
exp1_13_nb_p_f_twice;Letzte Woche hat Greta Thorsten mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Thorsten wieder einen spannenden Auftrag vergeben, als er an einer Konferenz teilgenommen hat.;Thorsten hat mindestens zweimal einen spannenden Auftrag vergeben.;neutral;13;positive;b;twice
exp1_13_nb_p_f_cannot_say;Letzte Woche hat Greta Thorsten mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Thorsten wieder einen spannenden Auftrag vergeben, als er an einer Konferenz teilgenommen hat.;Es lässt sich nicht sagen, wie oft Thorsten einen spannenden Auftrag vergeben hat.;neutral;13;positive;b;cannot say
exp1_13_nb_n_d_once;Letzte Woche hat Greta Thorsten mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Greta wieder einen spannenden Auftrag vergeben, als sie an einer Konferenz teilgenommen hat.;Greta hat einmal einen spannenden Auftrag vergeben.;neutral;13;neutral;b;once
exp1_13_nb_n_d_twice;Letzte Woche hat Greta Thorsten mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Greta wieder einen spannenden Auftrag vergeben, als sie an einer Konferenz teilgenommen hat.;Greta hat mindestens zweimal einen spannenden Auftrag vergeben.;entailment;13;neutral;b;twice
exp1_13_nb_n_d_cannot_say;Letzte Woche hat Greta Thorsten mit einem spannenden Auftrag betreut.;Vor zwei Tagen hat Greta wieder einen spannenden Auftrag vergeben, als sie an einer Konferenz teilgenommen hat.;Es lässt sich nicht sagen, wie oft Greta einen spannenden Auftrag vergeben hat.;neutral;13;neutral;b;cannot say
exp1_14_pa_p_f_once;Letzten Monat hat Thorsten Sabine ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Sabine wieder ein selbstgemaltes Bild gesehen, als sie mit einer Kunstlerin verabredet war.;Sabine hat einmal ein selbstgemaltes Bild gesehen.;neutral;14;positive;a;once
exp1_14_pa_p_f_twice;Letzten Monat hat Thorsten Sabine ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Sabine wieder ein selbstgemaltes Bild gesehen, als sie mit einer Kunstlerin verabredet war.;Sabine hat mindestens zweimal ein selbstgemaltes Bild gesehen.;entailment;14;positive;a;twice
exp1_14_pa_p_f_cannot_say;Letzten Monat hat Thorsten Sabine ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Sabine wieder ein selbstgemaltes Bild gesehen, als sie mit einer Kunstlerin verabredet war.;Es lässt sich nicht sagen, wie oft Sabine ein selbstgemaltes Bild gesehen hat.;neutral;14;positive;a;cannot say
exp1_14_pa_n_d_once;Letzten Monat hat Thorsten Sabine ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Thorsten wieder ein selbstgemaltes Bild gesehen, als er mit einer Kunstlerin verabredet war.;Thorsten hat einmal ein selbstgemaltes Bild gesehen.;entailment;14;neutral;a;once
exp1_14_pa_n_d_twice;Letzten Monat hat Thorsten Sabine ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Thorsten wieder ein selbstgemaltes Bild gesehen, als er mit einer Kunstlerin verabredet war.;Thorsten hat mindestens zweimal ein selbstgemaltes Bild gesehen.;neutral;14;neutral;a;twice
exp1_14_pa_n_d_cannot_say;Letzten Monat hat Thorsten Sabine ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Thorsten wieder ein selbstgemaltes Bild gesehen, als er mit einer Kunstlerin verabredet war.;Es lässt sich nicht sagen, wie oft Thorsten ein selbstgemaltes Bild gesehen hat.;neutral;14;neutral;a;cannot say
exp1_14_pb_p_f_once;Letzten Monat hat Thorsten Sabine ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Sabine wieder ein selbstgemaltes Bild prapentiert, als sie mit einer Kunstlerin verabredet war.;Sabine hat einmal ein selbstgemaltes Bild prapentiert.;neutral;14;positive;b;once
exp1_14_pb_p_f_twice;Letzten Monat hat Thorsten Sabine ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Sabine wieder ein selbstgemaltes Bild prapentiert, als sie mit einer Kunstlerin verabredet war.;Sabine hat mindestens zweimal ein selbstgemaltes Bild prapentiert.;entailment;14;positive;b;twice
exp1_14_pb_p_f_cannot_say;Letzten Monat hat Thorsten Sabine ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Sabine wieder ein selbstgemaltes Bild prapentiert, als sie mit einer Kunstlerin verabredet war.;Es lässt sich nicht sagen, wie oft Sabine ein selbstgemaltes Bild prapentiert hat.;neutral;14;positive;b;cannot say
exp1_14_pb_n_d_once;Letzten Monat hat Thorsten Sabine ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Thorsten wieder ein selbstgemaltes Bild prapentiert, als er mit einer Kunstlerin verabredet war.;Thorsten hat einmal ein selbstgemaltes Bild prapentiert.;entailment;14;neutral;b;once
exp1_14_pb_n_d_twice;Letzten Monat hat Thorsten Sabine ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Thorsten wieder ein selbstgemaltes Bild prapentiert, als er mit einer Kunstlerin verabredet war.;Thorsten hat mindestens zweimal ein selbstgemaltes Bild prapentiert.;neutral;14;neutral;b;twice
exp1_14_pb_n_d_cannot_say;Letzten Monat hat Thorsten Sabine ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Thorsten wieder ein selbstgemaltes Bild prapentiert, als er mit einer Kunstlerin verabredet war.;Es lässt sich nicht sagen, wie oft Thorsten ein selbstgemaltes Bild prapentiert hat.;neutral;14;neutral;b;cannot say
exp1_14_na_p_f_once;Letzten Monat hat Sabine Thorsten ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Thorsten wieder ein selbstgemaltes Bild gesehen, als er mit einer Kunstlerin verabredet war.;Thorsten hat einmal ein selbstgemaltes Bild gesehen.;entailment;14;positive;a;once
exp1_14_na_p_f_twice;Letzten Monat hat Sabine Thorsten ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Thorsten wieder ein selbstgemaltes Bild gesehen, als er mit einer Kunstlerin verabredet war.;Thorsten hat mindestens zweimal ein selbstgemaltes Bild gesehen.;neutral;14;positive;a;twice
exp1_14_na_p_f_cannot_say;Letzten Monat hat Sabine Thorsten ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Thorsten wieder ein selbstgemaltes Bild gesehen, als er mit einer Kunstlerin verabredet war.;Es lässt sich nicht sagen, wie oft Thorsten ein selbstgemaltes Bild gesehen hat.;neutral;14;positive;a;cannot say
exp1_14_na_n_d_once;Letzten Monat hat Sabine Thorsten ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Sabine wieder ein selbstgemaltes Bild gesehen, als sie mit einer Kunstlerin verabredet war.;Sabine hat einmal ein selbstgemaltes Bild gesehen.;neutral;14;neutral;a;once
exp1_14_na_n_d_twice;Letzten Monat hat Sabine Thorsten ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Sabine wieder ein selbstgemaltes Bild gesehen, als sie mit einer Kunstlerin verabredet war.;Sabine hat mindestens zweimal ein selbstgemaltes Bild gesehen.;entailment;14;neutral;a;twice
exp1_14_na_n_d_cannot_say;Letzten Monat hat Sabine Thorsten ein selbstgemaltes Bild gezeigt.;Vor zwei Wochen hat Sabine wieder ein selbstgemaltes Bild gesehen, als sie mit einer Kunstlerin verabredet war.;Es lässt sich nicht sagen, wie oft Sabine ein selbstgemaltes Bild gesehen hat.;neutral;14;neutral;a;cannot say
